propertyId,tenantInstitutionId,estimated_sales,rental_area
8398,4004135,33340860.0,36000.0
53030,4004135,34893975.0,45000.0
53030,4057762,3141943.0,4500.0
24996,4120239,3406337.0,4500.0
6855,4202227,610114.0,3000.0
55616,4071073,14701309.0,19500.0
25066,5039831,2368123.0,5100.0
6900,4022715,6243699.0,5100.0
25066,4120239,29521586.0,39000.0
15588,4068893,5394900.0,2800.0
7026,4191577,2248461.0,2100.0
17865,4001588,15010481.0,18000.0
17865,4004104,12508734.0,15000.0
31601,4057907,32470415.0,44700.0
25084,4067081,4853578.0,9900.0
42890,4067081,6541798.0,14700.0
42900,4095864,5543692.0,5400.0
43023,4182157,1950219.0,4200.0
44172,5012461,843499.0,600.0
39873,4069283,55038430.0,66000.0
39873,4004104,13509433.0,16200.0
30473,4004104,12508734.0,15000.0
30492,4004104,2001397.0,2400.0
30492,4069283,54538080.0,65400.0
30493,4001588,15010481.0,18000.0
30493,4004104,,
30493,4069283,1131225.0,2400.0
10096787,4046897,6949790.0,10500.0
37839,4094936,1518546.0,1200.0
37839,4069166,549060.0,1200.0
5495,4004104,1250873.0,1500.0
5495,4001588,1751223.0,2100.0
5495,4067081,2206172.0,4500.0
5499,4001588,13352087.0,20100.0
5499,4099645,16540645.0,24900.0
31695,4004104,55538779.0,66600.0
31695,4069283,50034936.0,60000.0
33414,4004104,12508734.0,15000.0
31699,4004104,500349.0,600.0
31699,4001588,13509433.0,16200.0
41894,4095864,15521234.0,12000.0
31706,4069283,50034936.0,60000.0
31706,4001588,,
31711,4053619,13509433.0,16200.0
31711,5011944,3752620.0,4500.0
15797,4004104,100069872.0,120000.0
15797,4001588,15010481.0,18000.0
30267,4193280,429600.0,900.0
31719,4069283,50034936.0,60000.0
15727,4004104,13509433.0,16200.0
15727,5011944,25017468.0,30000.0
15727,4053619,51302362.0,96000.0
39525,4095638,2782543.0,13500.0
29715,4057779,25564282.0,27900.0
44381,4206347,4541214.0,3000.0
35437,100369,6745849.0,2470.0
35437,5004173,2228446332.0,4170000.0
25474,4071032,786939.0,3900.0
25474,1014071,9859318.0,3610.0
25474,4004104,12508734.0,15000.0
33388,4048156,25222006.0,19500.0
33388,4071032,1452810.0,7200.0
28578,1024418,5708026.0,2090.0
52757,4069462,23266245.0,27900.0
34877,103050,2503000000.0,776910.0
10496,4088099,3385516.0,6900.0
10501,4120239,22708912.0,30000.0
10507,3005566,11354456.0,15000.0
10514,4004135,55568100.0,60000.0
10516,3005566,11354456.0,15000.0
10517,4071073,10177830.0,13500.0
10522,4058144,11448300.0,15000.0
10528,4120239,11354456.0,15000.0
10531,4120239,37526202.0,45000.0
10532,4329552,1688324.0,2800.0
10540,4004135,55568100.0,60000.0
10540,4069462,16261354.0,19500.0
12191,4001588,15010481.0,18000.0
12191,4120239,30521311.0,36600.0
44279,4100173,28758265.0,205.0
10553,3005566,17762402.0,21300.0
35725,4295216,1593474383.0,398750.0
35725,4623102,101145765.0,100000.0
58011,4068313,12019262.0,25500.0
10520,5012338,1904922.0,4800.0
61316,4057779,19961520.0,24000.0
61318,4057779,40921116.0,49200.0
61549,4067734,4629887.0,9020.0
61549,4322697,84018967.0,24000.0
61551,4072926,46210432.0,13200.0
61692,4069240,2237085.0,11000.0
7297,4066720,19603287.0,10200.0
10521,4069462,10757511.0,12900.0
27638,105827,217538.0,205.0
6815,4004104,12508734.0,15000.0
58482,4004135,41676075.0,45000.0
65697,5066507,7741830.0,9900.0
32940,4206347,4541214.0,3000.0
5964,4054203,898483.0,2100.0
65930,4057907,121846740.0,163500.0
65930,4067081,9809089.0,24600.0
65930,4122031,71216096.0,105000.0
66024,4057907,30182220.0,40500.0
66072,4079713,2464000.0,2750.0
33414,4067081,2206172.0,4500.0
33414,4053619,64127952.0,120000.0
